지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm)
100,대관령,2021-01-01,-9.5,-14.4,-4.5,
100,대관령,2021-01-02,-9.1,-11.7,-5.2,
100,대관령,2021-01-03,-9.7,-13.4,-5.8,
100,대관령,2021-01-04,-7.1,-14.4,-1.1,0
100,대관령,2021-01-05,-9.3,-18.3,-4.4,.1
100,대관령,2021-01-06,-13,-20.4,-8,.5
100,대관령,2021-01-07,-18.8,-21.7,-11.5,1.1
100,대관령,2021-01-08,-19.7,-24.3,-15,
100,대관령,2021-01-09,-17.1,-22,-12.2,
100,대관령,2021-01-10,-13.5,-19.4,-6.7,
100,대관령,2021-01-11,-13,-19.8,-7.7,
100,대관령,2021-01-12,-8.2,-13.5,-4,0
100,대관령,2021-01-13,-1,-5.9,2,
100,대관령,2021-01-14,-3.1,-9.1,4.5,
100,대관령,2021-01-15,.3,-11.4,6.5,.4
100,대관령,2021-01-16,-6.7,-12,-.7,
100,대관령,2021-01-17,-10.7,-15.4,-6.7,0
100,대관령,2021-01-18,-8.9,-13.7,-5.2,1.2
100,대관령,2021-01-19,-12.3,-22.1,-3.6,
100,대관령,2021-01-20,-5,-14.7,3.7,
100,대관령,2021-01-21,2.3,-4.2,7,0
100,대관령,2021-01-22,2,.6,6.6,0
100,대관령,2021-01-23,-.9,-1.8,1.1,.2
100,대관령,2021-01-24,-.7,-4.5,4.6,0
100,대관령,2021-01-25,-.5,-6.9,7.6,
100,대관령,2021-01-26,-.1,-2.3,2.6,0
100,대관령,2021-01-27,-1.6,-5,3.5,
100,대관령,2021-01-28,-7.6,-14.7,1,2.6
100,대관령,2021-01-29,-13.9,-18.3,-9,
100,대관령,2021-01-30,-7.2,-14.9,-1.5,1.7
100,대관령,2021-01-31,-3.7,-15.2,5,
100,대관령,2021-02-01,2.4,-1.8,5,0
100,대관령,2021-02-02,-9.1,-11.5,-1.8,
100,대관령,2021-02-03,-8.7,-14.2,-3.8,0
100,대관령,2021-02-04,-6.5,-9.7,-3.5,.6
100,대관령,2021-02-05,-2.7,-8.2,.6,
100,대관령,2021-02-06,1.5,-2.5,4.1,
100,대관령,2021-02-07,.8,-4.4,5.5,
100,대관령,2021-02-08,-6.9,-10,-3,
100,대관령,2021-02-09,-5.6,-11.9,.5,
100,대관령,2021-02-10,-2.1,-8.4,1.9,
100,대관령,2021-02-11,1,-9,11.9,
100,대관령,2021-02-12,3.1,-4,13.1,
100,대관령,2021-02-13,1.2,-8.6,14.2,
100,대관령,2021-02-14,3.8,-3.5,11.6,0
100,대관령,2021-02-15,-2.4,-9.9,3.3,.1
100,대관령,2021-02-16,-10.4,-12.9,-6.8,0
100,대관령,2021-02-17,-14.2,-16.8,-10.5,
100,대관령,2021-02-18,-11.8,-17.4,-6,
100,대관령,2021-02-19,-2.7,-11.5,2.7,
100,대관령,2021-02-20,5.6,1.3,10.3,
100,대관령,2021-02-21,9.3,3.4,15.6,
100,대관령,2021-02-22,7.1,-2.5,14.2,
100,대관령,2021-02-23,-2.8,-8.4,3.9,
100,대관령,2021-02-24,-5.2,-11.2,1.7,
100,대관령,2021-02-25,-.7,-8.3,5.5,
100,대관령,2021-02-26,-1.1,-7.3,3.8,0
100,대관령,2021-02-27,-1.4,-6.5,1.3,1.4
100,대관령,2021-02-28,1.4,-10.7,12.1,.1
100,대관령,2021-03-01,-1.2,-4.6,4.5,52.8
100,대관령,2021-03-02,-6.6,-12.5,-3.5,4.4
100,대관령,2021-03-03,-4.6,-16.9,3.2,
100,대관령,2021-03-04,1.4,-3,5.8,
100,대관령,2021-03-05,3.6,-8.4,14.1,
100,대관령,2021-03-06,-3.6,-5.5,4,2.2
100,대관령,2021-03-07,-.8,-4.5,6.5,
100,대관령,2021-03-08,-1.5,-8.9,5.1,
100,대관령,2021-03-09,3,-2.8,10,
100,대관령,2021-03-10,1.8,-4.1,7.6,
100,대관령,2021-03-11,4.9,-4.2,13.8,
100,대관령,2021-03-12,2.2,.3,4.8,10.5
100,대관령,2021-03-13,2.1,-1.8,7.8,0
100,대관령,2021-03-14,3.4,-3.3,11.1,
100,대관령,2021-03-15,5.2,-3.2,11.1,
100,대관령,2021-03-16,7,-.9,13.3,.7
100,대관령,2021-03-17,2,-4.2,9.2,
100,대관령,2021-03-18,2.3,-2.9,8,0
100,대관령,2021-03-19,4.2,2.1,7.5,
100,대관령,2021-03-20,3.8,2.2,5.6,.5
100,대관령,2021-03-21,1.9,-1.8,5,
100,대관령,2021-03-22,.7,-4,5.9,
100,대관령,2021-03-23,5,-2.8,10.8,
100,대관령,2021-03-24,7.2,2.9,13.1,
100,대관령,2021-03-25,9,.2,16.1,
100,대관령,2021-03-26,7.4,-1.3,15.7,
100,대관령,2021-03-27,7.8,.4,14.8,12.3
100,대관령,2021-03-28,7.6,5.8,11.6,2.7
100,대관령,2021-03-29,6.8,3.5,10.7,.1
100,대관령,2021-03-30,6.1,-2.5,15.6,
100,대관령,2021-03-31,5.2,-3.8,15,
100,대관령,2021-04-01,6.1,-1.1,10.8,
100,대관령,2021-04-02,7.6,2.7,12.8,0
100,대관령,2021-04-03,6.3,4.3,9.5,41.6
100,대관령,2021-04-04,1.6,-1.8,5.1,11.1
100,대관령,2021-04-05,2.8,-5.4,10.3,
100,대관령,2021-04-06,7.9,-1.9,15.3,
100,대관령,2021-04-07,9.2,-1.2,16.3,
100,대관령,2021-04-08,5,-.1,13.8,.2
100,대관령,2021-04-09,2.3,-2.3,6.2,5.1
100,대관령,2021-04-10,3.5,-5.7,12.9,
100,대관령,2021-04-11,7.3,-2.5,16.9,
100,대관령,2021-04-12,9.4,4,16.2,10.7
100,대관령,2021-04-13,8.9,2.7,12.5,5.2
100,대관령,2021-04-14,5.2,-.5,11,
